alert_rank,record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,predicted_risk,probability_high,forecast_available,predicted_next_achievement_rate,forecast_status,predicted_anomaly,anomaly_score,risk_component_score,forecast_component_score,anomaly_component_score,early_warning_score,early_warning_priority,warning_signal_count,signal_agreement,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,priority_message,integrated_investigation_guidance,review_status,forecast_context,decision_use
730,ES-005087,2026-07-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 3,0.7485,Medium,8.801382188196337e-06,True,0.7510070396301578,On Track,0,-0.1686259985620307,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
731,ES-000093,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,0.7563,Medium,8.537973220908869e-06,True,0.7646988508229883,On Track,0,-0.168145567404637,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Access constraints,Low activity completion,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
732,ES-005820,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 2,0.7968,Medium,8.415483879270645e-06,True,0.7628684793676599,On Track,0,-0.1174578328118237,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Low activity completion,Elevated complaints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
733,ES-003164,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 3,0.7545,Medium,7.129845705370957e-06,True,0.7636809799978395,On Track,0,-0.0869170069089027,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Access constraints,Low staff availability,Strong activity completion,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
734,ES-007295,2026-07-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 6,0.7269,Medium,5.810526492936093e-06,True,0.7524075645128714,On Track,0,-0.1871371423921739,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Access constraints,Low staff availability,Strong activity completion,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
735,ES-007358,2026-06-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 2,0.7757,Medium,5.6156205447532216e-06,True,0.75732175918112,On Track,0,-0.1807501497646657,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Elevated complaints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
736,ES-002142,2026-06-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,0.7847,Medium,5.471488611571434e-06,True,0.7586468450036414,On Track,0,-0.20225515043132,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
737,ES-001916,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 6,0.8276,Medium,4.841385960351337e-06,True,0.7758205088992572,On Track,0,-0.0775916647125867,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Low activity completion,Elevated complaints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
738,ES-004860,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 2,0.789,Medium,4.839245953506329e-06,True,0.7536012896273854,On Track,0,-0.1485737346948664,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Supply delay,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
739,ES-000765,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 6,0.7666,Medium,4.147732785186882e-06,True,0.7566193188033359,On Track,0,-0.1377172652633859,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Lower data quality,Access constraints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
740,ES-001562,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 1,0.7626,Medium,3.3246721413828277e-06,True,0.7635914390664961,On Track,0,-0.1975925049812754,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Supply delay,Reporting delay,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
741,ES-000378,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 6,0.7676,Medium,2.6922829007727806e-06,True,0.7687726701757007,On Track,0,-0.1810587947524473,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Access constraints,Low staff availability,Strong activity completion,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
742,ES-005531,2026-03-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 5,0.8024,Medium,2.529258170579917e-06,True,0.7633434999611344,On Track,0,-0.1516662088335465,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Supply delay,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
743,ES-002428,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 4,0.8003,Medium,2.3497425757418748e-06,True,0.7680877845546253,On Track,0,-0.2050992743084724,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Reporting delay,Supply delay,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
744,ES-005437,2026-05-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,0.7582,Medium,2.189415770229518e-06,True,0.7555739093005992,On Track,0,-0.1770089285913021,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Access constraints,Elevated complaints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
745,ES-003515,2026-03-01,Education Access Project,Education,Borno,Konduga,Konduga Site 2,0.7795,Medium,1.9340885308878154e-06,True,0.7509648476066009,On Track,0,-0.2048471780519911,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Supply delay,Reporting delay,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
746,ES-004957,2026-05-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 5,0.7567,Medium,1.9191512504699675e-06,True,0.7630850203930831,On Track,0,-0.1790862739383539,50.0,0.0,0.0,25.0,Low,1,Single Signal,Supply delay,Low activity completion,Access constraints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
747,ES-004798,2026-06-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 6,0.7785,Medium,1.7800955104638275e-06,True,0.7688678633656472,On Track,0,-0.1561801891572481,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Supply delay,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
748,ES-002364,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 2,0.832,Medium,1.53464410376004e-06,True,0.7751899890025669,On Track,0,-0.135286486644438,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Elevated complaints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
749,ES-004890,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 3,0.8082,Medium,1.4905080678949474e-06,True,0.7637832825204395,On Track,0,-0.1994332001466162,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Supply delay,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
750,ES-004797,2026-05-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 6,0.7999,Medium,1.1216601393080323e-06,True,0.768508589329938,On Track,0,-0.0364820707176507,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
751,ES-003452,2026-04-01,Education Access Project,Education,Borno,Jere,Jere Site 6,0.868,Medium,1.0108059183807235e-06,True,0.835277720798415,On Track,0,-0.0973897255325951,50.0,0.0,0.0,25.0,Low,1,Single Signal,Low activity completion,Elevated complaints,Access constraints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
752,ES-004956,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 5,0.8094,Medium,6.887414740342035e-07,True,0.774305399877573,On Track,0,-0.1773497973295458,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Access constraints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
753,ES-001148,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 6,0.7786,Medium,6.347382946296022e-07,True,0.7617153878273988,On Track,0,-0.0635105670752015,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Elevated complaints,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
754,ES-006043,2026-03-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 3,0.762,Medium,5.492063024477782e-07,True,0.7524466215799412,On Track,0,-0.1976491970116285,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Low staff availability,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
755,ES-001756,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,0.7767,Medium,4.3360628111346603e-07,True,0.7573973508363286,On Track,0,-0.1968519554137169,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Access constraints,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
756,ES-001150,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 6,0.7545,Medium,2.824073966605067e-07,True,0.7530099594786512,On Track,0,-0.207793891174608,50.0,0.0,0.0,25.0,Low,1,Single Signal,Reporting delay,Low activity completion,Lower data quality,Strong achievement,Risk: Medium | Forecast: On Track | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
757,ES-003485,2026-05-01,Education Access Project,Education,Borno,Konduga,Konduga Site 1,0.9592,Low,1.806861791902092e-14,True,0.9000857071579467,On Track,1,0.095942361913215,0.0,0.0,100.0,20.0,Low,1,Single Signal,Elevated complaints,Supply delay,Lower data quality,Strong achievement,Risk: Low | Forecast: On Track | Anomaly: Alert,"Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Validate the unusual operational pattern against source data and field context.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
758,ES-006618,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 3,0.6669,Low,2.098325480600965e-06,True,0.6841553365845955,Watch,0,-0.2217923625312927,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low achievement,Low activity completion,Low staff availability,Lower access constraints,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
759,ES-005599,2026-07-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 1,0.771,Low,1.9838462118784045e-06,True,0.7493015630116064,Watch,0,-0.1180466139191495,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low activity completion,Elevated complaints,Reporting delay,Limited supply delay,Risk: Low | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Validate reporting timeliness and follow up on delayed field submissions.,Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
760,ES-007482,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 6,0.6687,Low,1.8717025993420984e-06,True,0.6688236148348053,Watch,0,-0.2038358100150291,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low achievement,Low activity completion,Lower data quality,Timely reporting,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
761,ES-005466,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 3,0.7348,Low,1.2816233928296886e-06,True,0.7095974162911936,Watch,0,-0.2122832809102287,0.0,50.0,0.0,15.0,Low,1,Single Signal,Access constraints,Low activity completion,Low staff availability,Limited supply delay,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
762,ES-001405,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 2,0.7431,Low,1.219296799467441e-06,True,0.7166213291252859,Watch,0,-0.2079418957104922,0.0,50.0,0.0,15.0,Low,1,Single Signal,Elevated complaints,Low staff availability,Access constraints,Strong achievement,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review feedback and complaint records for recurring operational issues. | Review staffing coverage, absences and field deployment capacity. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
763,ES-007004,2026-04-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 3,0.6904,Low,1.135308805295816e-06,True,0.6880431955536256,Watch,0,-0.0862753512192032,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Low achievement,Low staff availability,Timely reporting,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
764,ES-006013,2026-05-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 2,0.7111,Low,9.372467344161996e-07,True,0.6934842381172246,Watch,0,-0.1564482255224238,0.0,50.0,0.0,15.0,Low,1,Single Signal,Reporting delay,Access constraints,Elevated complaints,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
765,ES-000955,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 6,0.6942,Low,8.298845687998081e-07,True,0.7259115243088771,Watch,0,-0.2238142110866648,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low achievement,Reporting delay,Low staff availability,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
766,ES-006170,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 1,0.7655,Low,8.144018869941771e-07,True,0.7450657387216996,Watch,0,-0.1050691521963747,0.0,50.0,0.0,15.0,Low,1,Single Signal,Reporting delay,Low activity completion,Lower data quality,Limited supply delay,Risk: Low | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
767,ES-005819,2026-03-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 2,0.7457,Low,7.992146776182653e-07,True,0.7370980727364902,Watch,0,-0.2053588246245948,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low activity completion,Access constraints,Low staff availability,Limited supply delay,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
768,ES-007135,2026-07-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 1,0.7689,Low,6.619930624856352e-07,True,0.7350150889349074,Watch,0,-0.1794132147228941,0.0,50.0,0.0,15.0,Low,1,Single Signal,Reporting delay,Low activity completion,Access constraints,Strong achievement,Risk: Low | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
769,ES-003775,2026-07-01,Education Access Project,Education,Borno,Mafa,Mafa Site 4,0.6496,Low,6.202616238422935e-07,True,0.6869801672952933,Watch,0,-0.2095763739150279,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low achievement,Access constraints,Lower data quality,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate source data, completeness and reporting quality.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
770,ES-004413,2026-05-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 6,0.7614,Low,5.645591706570938e-07,True,0.7441225951563395,Watch,0,-0.1572801952865449,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Low staff availability,Elevated complaints,Strong achievement,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
771,ES-002045,2026-05-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 4,0.7573,Low,5.030504841360863e-07,True,0.7443142365771186,Watch,0,-0.095446791959497,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Elevated complaints,Previous-month achievement pattern,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review recent performance trends for persistent underachievement.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
772,ES-002332,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 1,0.712,Low,4.895965831370454e-07,True,0.7223090575440404,Watch,0,-0.2017051171027039,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Low achievement,Low activity completion,Timely reporting,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
773,ES-006205,2026-05-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 2,0.7509,Low,4.776212725728734e-07,True,0.7208208978284383,Watch,0,-0.1133613383136034,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Low staff availability,Access constraints,Timely reporting,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
774,ES-002938,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 2,0.6933,Low,4.173264499093896e-07,True,0.6985665006051277,Watch,0,-0.2126606786894375,0.0,50.0,0.0,15.0,Low,1,Single Signal,Access constraints,Low achievement,Reporting delay,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
775,ES-006559,2026-07-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 1,0.7013,Low,4.021045627532928e-07,True,0.7339290822522886,Watch,0,-0.2246860338148121,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low achievement,Low activity completion,Supply delay,Lower access constraints,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
776,ES-001213,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 2,0.7593,Low,3.810613352726766e-07,True,0.7253243542634396,Watch,0,-0.2171261511763365,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low activity completion,Access constraints,Elevated complaints,Strong achievement,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
777,ES-003133,2026-05-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 2,0.7145,Low,3.759761815320001e-07,True,0.7405476953660751,Watch,0,-0.1811267021483311,0.0,50.0,0.0,15.0,Low,1,Single Signal,Supply delay,Elevated complaints,Low achievement,Strong activity completion,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
778,ES-005563,2026-03-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 6,0.7523,Low,3.6723545712761465e-07,True,0.7445466610736083,Watch,0,-0.2214705476245199,0.0,50.0,0.0,15.0,Low,1,Single Signal,Low activity completion,Supply delay,Access constraints,Strong achievement,Risk: Low | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery.",Routine monitoring,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
